2222,ANNA,LASKOWSKA
4233,GABRIELA,TABASZEWSKA
626,MARCIN,JABŁOŃSKI
2652,IRENEUSZ,BORYCHOWSKI
537,BARBARA,KOBALCZYK
1839,WIESŁAW,PIELACKI
4038,LEON,KUCHTA
146,JOANNA,RADOMSKA
1237,ADRIANA,FIJOŁ
1417,KRZYSZTOF,URBAŚ
3832,AMELIA,SZUMAN
4368,MARIA,LAZAROWSKA
3480,JAN,JAWORSKI
2690,JAKUB,DZIEDZIC
237,JAKUB,KULAS
2310,ZUZANNA,GDANIETZ
4247,KATARZYNA,MICIUK
1202,PIOTR,JEZIORSKI
464,JERZY,WOJNAROWSKI
3747,MARIANNA,SAWICKA
498,JOLANTA,LASZCZAK
2278,KRZYSZTOF,CICHON
3648,ZUZANNA,ŁUBKOWSKA
2681,ADAM,STRĄCZEWSKI
2643,DARIUSZ,KRUCZYK
2685,SŁAWOMIRA,ŁOWIGUS
3905,ANDRZEJ,PIETRUNIAK
1600,JAKUB,DUDA
983,JANINA,PISARCZYK
4432,JAN,ANDRYSZCZYK
477,MIROSŁAWA,HADUCH
1859,HENRYK,GRUSZKA
2851,KAROLINA,SKUBIŚ
3680,NELL,ZARYCHTA
2679,MAJA,SYNOWIEC
3111,MAŁGORZATA,WOJCIECHOWSKA
3277,IWONA,DREBOT
183,PAWEŁ,DUMA
1850,JANINA,FILIPOWICZ
1776,MARTA,ZARZYNA
29,MATEUSZ,JAKUBOWSKI
4970,KLAUDIA,SOBOCIŃSKA
2715,STANISŁAW,WĘGRZYNOWSKI
4590,DMITRI,CHICU
1227,JERZY,BRACHACZEK
2517,DARIUSZ,STASZEL
4752,IRENA,BANASZKIEWICZ
3082,STEFANIA,FĄFARA
2171,ZBIGNIEW,NALEŹNY
4126,MAREK,JANUSZ
4856,PIOTR,BANDURA
201,FILIP,MARCZYŃSKI
1502,RUDOLF,YEZHOV
4381,JÓZEFA,FORNAL
3225,SEWERYN,SITEK
2419,WACŁAW,MARSZAŁOWICZ
1311,JANINA,SZCZEPANEK
4431,MIROSŁAW,WIECHEĆ
408,JAN,JARCZYŃSKI
328,PAWEŁ,BIL
2923,HELENA,KLUF
2775,WANDA,HAŁASZKIEWICZ
1932,JAN,RYBICKI
133,GENOWEFA,PIOTROWSKA
4048,MAREK,KUŹNIEWSKI
718,MARIAN,JARZĄBEK
3312,EWA,ZABOROWSKA
551,STANISŁAW,PIERZCHAŁA
4816,KAROLINA,POŚPIECH
1486,LESZEK,OTKAŁA
3975,WANDA,KOWALCZYK
2480,KRZYSZTOF,KOTLIAREVSKYI
3602,AGATA,ŁUKOMSKA
763,WIESŁAW,LESZEK
4465,KATARZYNA,LITWIN
3269,MARIKA,KOWALSKA
2840,NIKITA,WESOŁOWSKI
4772,MOHAMED,SKRZYŃSKI
920,MARIA,MILÓWKA
3568,KRYSTYNA,KASPEREK
1874,JADWIGA,DZIĘGIELEWSKA
2811,JUSTYNA,POCIĘGIEL
2435,ADRIAN,ULFIK
4654,BARNABA,BORKOWSKI
2958,AMELIA,FRANIEWSKA
2638,ROZALIA,IGLEWSKA
3561,MARIANNA,KRZEMIŃSKA
1318,JAN,ZIEMIAŃSKI
346,BOGUMIŁA,ANTCZAK
1517,ALINA,BARCICKA
688,EMILIA,JAWORSKA
2486,KINGA,MAJDER
1836,WACŁAW,TALABSKI
785,BARBARA,PROKOPCZYK
1603,KACPER,PRASZYWKA
129,WITOLD,ZALEWSKI
2381,ZOFIA,MORŻKOWSKA
1652,MARIA,NAJMAN
2331,MIROSŁAWA,POSTOLSKA
567,KAZIMIERZ,KOWALSKI
1269,ANTONINA,KRAWCZYK
1987,ZOFIA,PACHOŁEK
3054,ALEKSANDRA,WÓJS
3386,JÓZEF,URBANIAK
4457,ZBIGNIEW,LEONOWICZ
4617,MARIANNA,SZPINDER
4315,KRZYSZTOF,BUCZYŃSKI
22,GENOWEFA,SUŁECKA
4732,JADWIGA,ZŁOMAŃCZUK
838,RENATA,JELIŃSKA
2515,MACIEJ,ZGANIACZ
2202,ANNA,BANASZAK
3699,ANNA,FIBAKIEWICZ
2281,HENRYK,KLIMEK
780,ARTUR,IGNATOV
2933,MALWINA,NIEDŹWIECKA
4560,VIKTOR,DRAGAN
481,EDMUND,BIADUN
3051,WIOLETTA,STANISZEWSKA
199,WIESŁAWA,GRĄTKIEWICZ
2816,KAROL,PEZDEK
3430,PIOTR,ZALEWSKI
2443,MAŁGORZATA,MIROŃCZYK
3639,MAŁGORZATA,NOCOŃ
2860,JAROSŁAW,JACHIMOWICZ
2173,SZCZEPAN,SULIMOWICZ
576,ZOFIA,KORNOWSKA
3737,IGA,MAZUR
2678,JAN,GRZYWACZ
3494,AGNIESZKA,GRZYBCZAK
1638,ALBERT,BACZYŃSKI
1949,MATEUSZ,LUDWICKI
2817,ANDRZEJ,DOMAŃSKI
89,JAN,ZYGMUNT
2422,BŁAŻEJ,WATA
283,DOROTA,DRZEWIECKA
2680,MAREK,SAWCZYN
2060,MIECZYSŁAW,FĄGOWSKI
1796,ALEKSANDRA,WIERZCHOWSKA
741,STANISŁAW,WYSOCKI
474,WERONIKA,MARCINIAK
4630,BARBARA,KWIECIEŃ
2863,SANDRA,KITOWSKA
4128,KAZIMIERA,WÓJTOWICZ
602,TERESA,GUT
4346,IGOR,CIŻMAN
516,MARZENA,MIECZKOWSKA
1755,STEFANIA,SZYIŃSKA
114,OTYLIA,SCHMID
627,ŁUKASZ,MAŁOTA
832,ZOFIA,CHORZĘPA
449,STANISŁAW,PAGACZ
4511,MARIA,WARZYC
2032,MARIA,SUSOŁOWSKA
4284,NATALIA,KRUCZKOWSKA
689,BEATA,ZIOBROWSKA
1199,SYLWIA,KUCZALSKA
4602,MAREK,SERAFIN
4276,MARTA,JAKUBOWSKA
1038,JÓZEF,KOTARSKI
4902,EWA,GRABOWSKA
1201,MATEUSZ,ANTCZAK
4100,MARIANNA,ZAPOLNA
3657,STEFAN,JACZECH
